client_id	aud_path	sentence	up_votes	down_votes	age	age_num	gender	accent	num_words	num_onsets	onset_stren_mean	dom_freq	count_13_n-1_13	count_14_n-1_13	count_15_n-1_13	count_16_n-1_13	count_13_n-1_14	count_14_n-1_14	count_15_n-1_14	count_16_n-1_14	count_13_n-1_15	count_14_n-1_15	count_15_n-1_15	count_16_n-1_15	count_13_n-1_16	count_14_n-1_16	count_15_n-1_16	count_16_n-1_16	count_13_n-2_13	count_14_n-2_13	count_15_n-2_13	count_16_n-2_13	count_13_n-2_14	count_14_n-2_14	count_15_n-2_14	count_16_n-2_14	count_13_n-2_15	count_14_n-2_15	count_15_n-2_15	count_16_n-2_15	count_13_n-2_16	count_14_n-2_16	count_15_n-2_16	count_16_n-2_16	count_13_n-3_13	count_14_n-3_13	count_15_n-3_13	count_16_n-3_13	count_13_n-3_14	count_14_n-3_14	count_15_n-3_14	count_16_n-3_14	count_13_n-3_15	count_14_n-3_15	count_15_n-3_15	count_16_n-3_15	count_13_n-3_16	count_14_n-3_16	count_15_n-3_16	count_16_n-3_16	count_13_n-4_13	count_14_n-4_13	count_15_n-4_13	count_16_n-4_13	count_13_n-4_14	count_14_n-4_14	count_15_n-4_14	count_16_n-4_14	count_13_n-4_15	count_14_n-4_15	count_15_n-4_15	count_16_n-4_15	count_13_n-4_16	count_14_n-4_16	count_15_n-4_16	count_16_n-4_16	acc_ratio_count_13_n-1_13	acc_ratio_count_14_n-1_13	acc_ratio_count_15_n-1_13	acc_ratio_count_16_n-1_13	acc_ratio_count_13_n-1_14	acc_ratio_count_14_n-1_14	acc_ratio_count_15_n-1_14	acc_ratio_count_16_n-1_14	acc_ratio_count_13_n-1_15	acc_ratio_count_14_n-1_15	acc_ratio_count_15_n-1_15	acc_ratio_count_16_n-1_15	acc_ratio_count_13_n-1_16	acc_ratio_count_14_n-1_16	acc_ratio_count_15_n-1_16	acc_ratio_count_16_n-1_16	acc_ratio_count_13_n-2_13	acc_ratio_count_14_n-2_13	acc_ratio_count_15_n-2_13	acc_ratio_count_16_n-2_13	acc_ratio_count_13_n-2_14	acc_ratio_count_14_n-2_14	acc_ratio_count_15_n-2_14	acc_ratio_count_16_n-2_14	acc_ratio_count_13_n-2_15	acc_ratio_count_14_n-2_15	acc_ratio_count_15_n-2_15	acc_ratio_count_16_n-2_15	acc_ratio_count_13_n-2_16	acc_ratio_count_14_n-2_16	acc_ratio_count_15_n-2_16	acc_ratio_count_16_n-2_16	acc_ratio_count_13_n-3_13	acc_ratio_count_14_n-3_13	acc_ratio_count_15_n-3_13	acc_ratio_count_16_n-3_13	acc_ratio_count_13_n-3_14	acc_ratio_count_14_n-3_14	acc_ratio_count_15_n-3_14	acc_ratio_count_16_n-3_14	acc_ratio_count_13_n-3_15	acc_ratio_count_14_n-3_15	acc_ratio_count_15_n-3_15	acc_ratio_count_16_n-3_15	acc_ratio_count_13_n-3_16	acc_ratio_count_14_n-3_16	acc_ratio_count_15_n-3_16	acc_ratio_count_16_n-3_16	acc_ratio_count_13_n-4_13	acc_ratio_count_14_n-4_13	acc_ratio_count_15_n-4_13	acc_ratio_count_16_n-4_13	acc_ratio_count_13_n-4_14	acc_ratio_count_14_n-4_14	acc_ratio_count_15_n-4_14	acc_ratio_count_16_n-4_14	acc_ratio_count_13_n-4_15	acc_ratio_count_14_n-4_15	acc_ratio_count_15_n-4_15	acc_ratio_count_16_n-4_15	acc_ratio_count_13_n-4_16	acc_ratio_count_14_n-4_16	acc_ratio_count_15_n-4_16	acc_ratio_count_16_n-4_16	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	median_func_num	MEDIAN_func_num
ac5fea9cacdfa4a2d6291c780b0a0ee1c0f2c5d2389cc0357a477fdac75a87c74638f69f3d7a1ac89af0f2824d9a930ddfceac2b52d7e4f91990994b77044841	commonvoice\train\clips\common_voice_en_10110.wav	I really liked the film we saw last week.	4	0	sixties	65	male	us	9	13	1.0493813	124.381819305783	8	7	7	8	10	10	10	8	8	7	7	6	8	7	7	7	6	5	6	4	5	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	3	3	3	3	4	4	4	4	4	4	4	3	4	3	3	3	4	3	3	3	4	4	4	4	4	4	4	4	0.888888888888889	0.777777777777778	0.777777777777778	0.888888888888889	1.11111111111111	1.11111111111111	1.11111111111111	0.888888888888889	0.888888888888889	0.777777777777778	0.777777777777778	0.666666666666667	0.888888888888889	0.777777777777778	0.777777777777778	0.777777777777778	0.666666666666667	0.555555555555556	0.666666666666667	0.444444444444444	0.555555555555556	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.333333333333333	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.333333333333333	0.444444444444444	0.333333333333333	0.333333333333333	0.333333333333333	0.444444444444444	0.333333333333333	0.333333333333333	0.333333333333333	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0.444444444444444	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	5	5
ac5fea9cacdfa4a2d6291c780b0a0ee1c0f2c5d2389cc0357a477fdac75a87c74638f69f3d7a1ac89af0f2824d9a930ddfceac2b52d7e4f91990994b77044841	commonvoice\train\clips\common_voice_en_10153.wav	Please put maimi yajima's song onto Operación Bikini.	3	0	sixties	65	male	us	8	21	1.5175124	126.767224059593	23	21	21	20	22	21	20	20	20	19	19	16	17	17	15	15	10	11	10	11	11	10	10	9	8	9	8	8	9	9	8	8	8	8	8	8	8	8	8	8	11	11	10	9	9	9	9	9	10	11	10	9	9	9	9	9	10	10	10	8	8	8	6	6	2.875	2.625	2.625	2.5	2.75	2.625	2.5	2.5	2.5	2.375	2.375	2	2.125	2.125	1.875	1.875	1.25	1.375	1.25	1.375	1.375	1.25	1.25	1.125	1	1.125	1	1	1.125	1.125	1	1	1	1	1	1	1	1	1	1	1.375	1.375	1.25	1.125	1.125	1.125	1.125	1.125	1.25	1.375	1.25	1.125	1.125	1.125	1.125	1.125	1.25	1.25	1.25	1	1	1	0.75	0.75	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	37	34
0e7bca7f3243636599bd8e7bbe03b4f09ae8898bb0e16e0edc50a2499740c6616dfef740699004ba6bacecad2e3f7f0b52aef60f1dcd01afd81726df6093ad51	commonvoice\train\clips\common_voice_en_101622.wav	Three men are painting a metal wall white.	3	0	twenties	25	male	indian	8	13	1.5256131	116.373674775137	11	11	10	11	9	9	9	9	11	10	9	9	11	11	11	10	11	10	9	9	9	9	9	9	10	10	10	9	11	11	11	8	12	10	10	9	11	10	9	9	8	9	7	7	7	7	7	7	8	8	8	7	8	7	7	7	7	8	7	7	9	9	8	8	1.375	1.375	1.25	1.375	1.125	1.125	1.125	1.125	1.375	1.25	1.125	1.125	1.375	1.375	1.375	1.25	1.375	1.25	1.125	1.125	1.125	1.125	1.125	1.125	1.25	1.25	1.25	1.125	1.375	1.375	1.375	1	1.5	1.25	1.25	1.125	1.375	1.25	1.125	1.125	1	1.125	0.875	0.875	0.875	0.875	0.875	0.875	1	1	1	0.875	1	0.875	0.875	0.875	0.875	1	0.875	0.875	1.125	1.125	1	1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	43	50
ac5fea9cacdfa4a2d6291c780b0a0ee1c0f2c5d2389cc0357a477fdac75a87c74638f69f3d7a1ac89af0f2824d9a930ddfceac2b52d7e4f91990994b77044841	commonvoice\train\clips\common_voice_en_10187.wav	Though this be madness, yet there is method in it	4	0	sixties	65	male	us	10	25	0.9732288	279.26274224956	12	11	12	11	10	10	9	8	9	9	8	8	12	11	10	10	12	12	12	12	12	13	12	12	10	9	9	8	8	8	8	8	8	8	8	7	6	5	8	6	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	1.2	1.1	1.2	1.1	1	1	0.9	0.8	0.9	0.9	0.8	0.8	1.2	1.1	1	1	1.2	1.2	1.2	1.2	1.2	1.3	1.2	1.2	1	0.9	0.9	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.7	0.6	0.5	0.8	0.6	0.4	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.4	0.3	0.3	0.3	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	9	14
ac5fea9cacdfa4a2d6291c780b0a0ee1c0f2c5d2389cc0357a477fdac75a87c74638f69f3d7a1ac89af0f2824d9a930ddfceac2b52d7e4f91990994b77044841	commonvoice\train\clips\common_voice_en_10199.wav	As she watched, the cat washed his ears and then settled down to sleep.	4	0	sixties	65	male	us	14	21	1.5295111	131.026875405681	28	26	25	24	24	24	22	22	23	20	20	17	20	16	14	13	13	12	9	10	13	10	10	10	13	11	13	12	13	13	12	12	13	14	12	11	14	14	13	13	14	10	10	10	11	10	10	10	14	12	10	10	12	10	11	9	10	11	10	10	11	11	11	11	2	1.85714285714286	1.78571428571429	1.71428571428571	1.71428571428571	1.71428571428571	1.57142857142857	1.57142857142857	1.64285714285714	1.42857142857143	1.42857142857143	1.21428571428571	1.42857142857143	1.14285714285714	1	0.928571428571429	0.928571428571429	0.857142857142857	0.642857142857143	0.714285714285714	0.928571428571429	0.714285714285714	0.714285714285714	0.714285714285714	0.928571428571429	0.785714285714286	0.928571428571429	0.857142857142857	0.928571428571429	0.928571428571429	0.857142857142857	0.857142857142857	0.928571428571429	1	0.857142857142857	0.785714285714286	1	1	0.928571428571429	0.928571428571429	1	0.714285714285714	0.714285714285714	0.714285714285714	0.785714285714286	0.714285714285714	0.714285714285714	0.714285714285714	1	0.857142857142857	0.714285714285714	0.714285714285714	0.857142857142857	0.714285714285714	0.785714285714286	0.642857142857143	0.714285714285714	0.785714285714286	0.714285714285714	0.714285714285714	0.785714285714286	0.785714285714286	0.785714285714286	0.785714285714286	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	30	36
897a3d0ad3a122eea67768d9fc3c0620b8fe814cabf587575a6e59a2e35f9739a3c3f86d1feeebdd07a3bc1255ccfda0dec79ac3a3e953f11d2313c7b8a36d0f	commonvoice\train\clips\common_voice_en_102027.wav	add artist in my	3	1	twenties	25	male	us	4	14	1.9981135	48.9007974530955	6	6	6	5	5	6	5	5	4	5	4	4	3	4	4	4	5	5	5	5	5	5	5	5	6	5	5	5	5	5	4	4	6	5	5	5	6	6	6	5	5	4	4	4	4	4	4	3	4	4	4	4	4	4	4	3	4	4	3	3	4	5	5	4	1.5	1.5	1.5	1.25	1.25	1.5	1.25	1.25	1	1.25	1	1	0.75	1	1	1	1.25	1.25	1.25	1.25	1.25	1.25	1.25	1.25	1.5	1.25	1.25	1.25	1.25	1.25	1	1	1.5	1.25	1.25	1.25	1.5	1.5	1.5	1.25	1.25	1	1	1	1	1	1	0.75	1	1	1	1	1	1	1	0.75	1	1	0.75	0.75	1	1.25	1.25	1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	45	45
97463d7752ac365baa8a92b399fb29a2d1263f50a5488df98d21b7f46500c3e87cfe285d97d5bf95d630a172ae4b659da8319c52b6807d997ffc8043d4c2fe18	commonvoice\train\clips\common_voice_en_102830.wav	There's a thread in their forums complaining about this.	3	1	twenties	25	female	us	9	18	1.9740403	152.836290297654	17	16	13	13	15	15	15	15	16	15	14	14	14	14	14	13	13	12	11	11	14	13	13	11	10	10	10	10	11	11	10	9	12	10	9	9	11	11	11	11	11	10	10	10	10	10	10	8	10	10	10	10	10	10	10	9	8	8	6	6	6	6	5	5	1.88888888888889	1.77777777777778	1.44444444444444	1.44444444444444	1.66666666666667	1.66666666666667	1.66666666666667	1.66666666666667	1.77777777777778	1.66666666666667	1.55555555555556	1.55555555555556	1.55555555555556	1.55555555555556	1.55555555555556	1.44444444444444	1.44444444444444	1.33333333333333	1.22222222222222	1.22222222222222	1.55555555555556	1.44444444444444	1.44444444444444	1.22222222222222	1.11111111111111	1.11111111111111	1.11111111111111	1.11111111111111	1.22222222222222	1.22222222222222	1.11111111111111	1	1.33333333333333	1.11111111111111	1	1	1.22222222222222	1.22222222222222	1.22222222222222	1.22222222222222	1.22222222222222	1.11111111111111	1.11111111111111	1.11111111111111	1.11111111111111	1.11111111111111	1.11111111111111	0.888888888888889	1.11111111111111	1.11111111111111	1.11111111111111	1.11111111111111	1.11111111111111	1.11111111111111	1.11111111111111	1	0.888888888888889	0.888888888888889	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.555555555555556	0.555555555555556	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	44	34
bef0219e05f4150ff65a74f07c005829cda856bfb7f7b3495aa1a46df51c9235b526ef9d3a1bd0600fdb2f6f732f7b152b12f4141aa853ad21c7ccbfaed803fc	commonvoice\train\clips\common_voice_en_110094.wav	Let me talk to him.	3	0	fourties	45	male	england	5	7	1.7304188	30.4991036379934	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	8	8	7	7	9	9	9	8	9	7	7	7	8	8	8	8	8	8	7	7	8	8	8	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	1.2	1.2	1.2	1.2	1.4	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.6	1.6	1.4	1.4	1.8	1.8	1.8	1.6	1.8	1.4	1.4	1.4	1.6	1.6	1.6	1.6	1.6	1.6	1.4	1.4	1.6	1.6	1.6	1.6	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.2	1.4	1.4	1.4	1.4	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63		8
55d5e48790afbe311a818e0fb4f787e2203725c648e9817ad204cb4063f358462a427ab756d9a30760e5567f1718970a7507dbb5f6c8667caf8a8c36ec40c4a4	commonvoice\train\clips\common_voice_en_111910.wav	Ice skater taking a hit by another player	3	0	twenties	25	female	us	8	11	1.5163223	108.195144190647	10	10	10	9	11	10	10	9	10	9	8	9	11	10	9	9	8	8	8	8	9	8	8	8	8	8	8	8	9	9	8	8	10	9	9	8	10	9	9	9	9	9	9	9	8	8	8	8	9	9	9	9	8	8	8	8	7	7	7	7	9	8	9	7	1.25	1.25	1.25	1.125	1.375	1.25	1.25	1.125	1.25	1.125	1	1.125	1.375	1.25	1.125	1.125	1	1	1	1	1.125	1	1	1	1	1	1	1	1.125	1.125	1	1	1.25	1.125	1.125	1	1.25	1.125	1.125	1.125	1.125	1.125	1.125	1.125	1	1	1	1	1.125	1.125	1.125	1.125	1	1	1	1	0.875	0.875	0.875	0.875	1.125	1	1.125	0.875	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	37	28
55d5e48790afbe311a818e0fb4f787e2203725c648e9817ad204cb4063f358462a427ab756d9a30760e5567f1718970a7507dbb5f6c8667caf8a8c36ec40c4a4	commonvoice\train\clips\common_voice_en_111913.wav	A girl smiles while interacting with medical personnel	3	2	twenties	25	female	us	8	18	1.541044	133.241894105647	10	9	10	9	10	10	10	9	10	10	10	9	10	10	10	10	10	10	10	10	12	11	10	10	11	11	11	11	11	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	12	11	11	11	10	10	10	10	11	10	10	10	10	10	9	9	10	10	10	10	1.25	1.125	1.25	1.125	1.25	1.25	1.25	1.125	1.25	1.25	1.25	1.125	1.25	1.25	1.25	1.25	1.25	1.25	1.25	1.25	1.5	1.375	1.25	1.25	1.375	1.375	1.375	1.375	1.375	1.25	1.25	1.25	1.375	1.25	1.25	1.25	1.25	1.25	1.25	1.25	1.25	1.25	1.25	1.25	1.5	1.375	1.375	1.375	1.25	1.25	1.25	1.25	1.375	1.25	1.25	1.25	1.25	1.25	1.125	1.125	1.25	1.25	1.25	1.25	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	9	9
